kind,minor_r_m,major_r_m,z_m,psi_norm,psi_wb
lcfs,-6.0559411555e-01,1.2444058844e+00,2.0776973684e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-6.1693105748e-01,1.2330689425e+00,1.8006710526e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-6.2165492958e-01,1.2283450704e+00,1.6644085088e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-6.2713426238e-01,1.2228657376e+00,1.5236447368e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-6.3605304170e-01,1.2139469583e+00,1.2466184211e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-6.4308754042e-01,1.2069124596e+00,9.6959210526e-02,1.0000000000e+00,2.1287019677e-01
lcfs,-6.4426056338e-01,1.2057394366e+00,9.0793692732e-02,1.0000000000e+00,2.1287019677e-01
lcfs,-6.4899990284e-01,1.2010000972e+00,6.9256578947e-02,1.0000000000e+00,2.1287019677e-01
lcfs,-6.5306573396e-01,1.1969342660e+00,4.1553947368e-02,1.0000000000e+00,2.1287019677e-01
lcfs,-6.5512927817e-01,1.1948707218e+00,1.3851315789e-02,1.0000000000e+00,2.1287019677e-01
primary_x_point,4.8602112676e-01,,1.1773618421e+00,,2.4037553626e-01
primary_strike_point,-5.1644027623e-01,,-3.7453162955e-01,9.9998048680e-01,
